epoch,train_loss,f1,le,de,rde,seld_err
1,0.023055131313404493,9.699,20.857,49.381,0.3109,0.4433
3,0.010910629825948023,12.88,22.051,54.168,0.3747,0.4561
5,0.008237404910952793,14.192,18.182,54.748,0.3717,0.4436
7,0.0067496290669070355,15.945,18.332,52.804,0.3134,0.4186
9,0.005663962145036137,18.055,15.816,54.214,0.3162,0.4078
11,0.005117117508061221,22.875,17.872,51.299,0.323,0.3978
13,0.004601011471578095,21.954,15.857,51.99,0.3268,0.3984
15,0.004043754426708614,25.149,16.392,53.249,0.3244,0.388
17,0.0036739688314639434,21.214,19.108,46.262,0.2746,0.3895
19,0.0032729402557137802,24.434,16.814,54.074,0.3166,0.3885
21,0.0030945000818804512,26.71,15.471,51.978,0.309,0.3759
23,0.002860822350321565,26.05,15.328,52.509,0.3091,0.3779
25,0.0026894022188052712,28.551,14.55,48.835,0.2873,0.3609
27,0.002446044821404753,26.335,15.509,51.002,0.3001,0.3743
29,0.002324228640951696,27.905,14.836,50.398,0.2978,0.3671
31,0.0021232859531060137,26.344,14.076,49.393,0.2908,0.3685
33,0.0019215566740076347,26.379,14.594,51.753,0.3107,0.376
35,0.002099518379338487,28.511,14.3,47.496,0.2734,0.3559
37,0.0016993066112715237,25.878,15.31,51.669,0.3055,0.3772
39,0.0017570770423952367,28.916,13.716,51.075,0.3107,0.3659
41,0.0016154962625175853,27.59,14.344,50.537,0.2964,0.3667
43,0.0015849202035151607,28.041,14.282,48.604,0.2862,0.3617
45,0.0013872120910631335,27.303,14.023,49.458,0.2962,0.367
47,0.0013984640258328889,27.162,14.907,49.791,0.2989,0.37
49,0.001276867036155759,26.517,14.378,49.582,0.2965,0.3704
51,0.0012264473187221941,27.973,15.03,49.059,0.2875,0.3637
53,0.001181825429201738,26.915,15.022,50.521,0.311,0.3751
55,0.0011380987705995724,27.699,14.064,49.331,0.2899,0.3637
57,0.001110138618261841,28.616,13.958,48.66,0.2861,0.3591
59,0.0010615428750563546,27.329,14.242,48.91,0.2896,0.3651
61,0.0010391346725228923,27.342,13.923,50.46,0.2987,0.3675
63,0.001014574454747307,27.001,14.477,50.918,0.3091,0.3732
65,0.000955053203422258,27.841,13.846,50.525,0.2999,0.3661
67,0.0009429390584583713,27.314,14.088,50.063,0.3026,0.3692
69,0.0009139402025732923,28.23,13.68,48.936,0.2913,0.3617
71,0.0009060065254676749,27.722,13.96,50.33,0.2997,0.3667
73,0.0008817982640234893,27.594,14.297,50.117,0.2957,0.3664
75,0.0008646875201343864,27.495,14.273,50.855,0.304,0.3694
77,0.0008460358975384183,27.644,14.037,50.379,0.3033,0.3683
