epoch,train_loss,f1,le,de,rde,seld_err
1,0.025609442105078664,4.663,19.939,49.81,0.298,0.454
3,0.013121640050242828,12.757,19.569,48.969,0.3088,0.43
5,0.009784298400674872,13.637,20.657,52.584,0.3567,0.445
7,0.008114228846869981,14.199,15.896,48.289,0.3213,0.4225
9,0.006821150064796366,16.206,21.675,59.967,0.3275,0.4286
11,0.005757616785123611,20.935,19.929,53.298,0.3376,0.413
13,0.0053604700062277084,21.685,18.169,54.015,0.3425,0.4089
15,0.004378045717273862,24.22,20.812,45.771,0.2821,0.3852
17,0.003942916837353235,26.159,18.482,52.565,0.3109,0.384
19,0.003446230931334814,21.425,22.116,50.955,0.307,0.4052
21,0.004229444702634399,25.526,16.745,52.182,0.3035,0.3804
23,0.0029738743932680293,24.614,17.782,51.144,0.2972,0.3833
25,0.0027719567136400905,19.112,21.077,52.808,0.3236,0.4165
27,0.00270143048238112,19.329,21.391,52.444,0.3076,0.4111
29,0.002349406108137773,24.935,16.822,51.25,0.3047,0.3829
31,0.002417859635266883,25.668,16.465,50.275,0.3044,0.3797
33,0.0021264277695055255,24.706,16.953,52.207,0.3115,0.3862
35,0.0019388045156778432,22.427,16.492,51.782,0.3079,0.3918
37,0.0018260098532400292,25.995,16.845,50.774,0.3061,0.3799
39,0.0017162101986082504,25.584,16.863,53.102,0.3178,0.3852
41,0.0016874442666826547,25.905,16.326,50.207,0.3021,0.3779
43,0.0015607452630120454,26.443,16.394,50.83,0.3014,0.376
45,0.0014714257782153814,27.529,15.685,52.604,0.3118,0.3746
47,0.0014651887155224847,25.65,15.81,53.919,0.3268,0.386
49,0.001342055696119651,27.336,15.621,51.745,0.3002,0.3712
51,0.001289459420692386,25.477,16.816,49.976,0.2941,0.3776
53,0.0012711210877900153,27.472,15.334,50.868,0.3005,0.3703
55,0.0011912872811348598,26.381,16.023,52.123,0.3108,0.3787
57,0.0012017974382022864,27.036,16.105,52.077,0.3042,0.3744
59,0.0011299527113316104,27.276,15.57,51.274,0.3044,0.3727
61,0.0010734925537771555,26.515,16.264,52.455,0.3152,0.3801
63,0.0010302570023122347,26.405,16.12,53.691,0.3182,0.3812
65,0.0010079189104091684,27.179,15.607,51.537,0.3046,0.3732
