epoch,train_loss,f1,le,de,rde,seld_err
1,0.030239749135170864,0.007,19.826,104.576,0.3416,0.4839
3,0.021575474275613394,5.571,18.112,42.12,0.2585,0.4345
5,0.015007544781895369,11.575,18.839,49.659,0.3207,0.4365
7,0.011447718465979409,13.67,21.623,49.617,0.3276,0.437
9,0.00951434518980581,15.465,17.443,50.626,0.339,0.4271
11,0.008296860792622792,16.371,17.606,44.295,0.2935,0.4092
13,0.007465475895185405,15.79,21.517,48.725,0.3127,0.4248
15,0.006801246817583057,17.369,17.531,46.9,0.2813,0.4017
17,0.006238327660473195,18.627,17.329,49.706,0.3098,0.4066
19,0.005654695083563194,19.904,18.403,48.632,0.2986,0.4006
21,0.005217877125888183,21.699,17.924,51.526,0.3057,0.3961
23,0.00482834210916327,21.898,18.351,51.064,0.3095,0.3975
25,0.004488677307083381,22.719,18.417,51.434,0.3125,0.3959
27,0.0041452626354889725,21.703,17.174,59.742,0.3273,0.4019
29,0.003919694255524147,23.146,15.909,59.977,0.3318,0.3962
31,0.0035968241345973348,24.4,16.258,47.944,0.2984,0.3816
33,0.003398535957405945,23.918,17.278,50.746,0.3105,0.3891
35,0.0031115818763239765,23.409,17.512,50.27,0.3074,0.3902
37,0.002988616006419532,23.932,16.759,51.632,0.3068,0.3869
39,0.002803041148696124,23.893,15.599,57.374,0.3208,0.3895
41,0.0026862523229756047,23.607,18.033,52.426,0.3054,0.3898
43,0.0025419948052424262,24.163,16.714,59.357,0.3218,0.391
45,0.00240968178965034,24.908,15.45,57.083,0.3153,0.384
47,0.0023286667305015495,23.624,15.549,58.135,0.3172,0.3891
49,0.002240903887303737,25.572,15.038,57.649,0.3147,0.3808
51,0.0021127760809054232,25.574,16.207,57.811,0.3065,0.3803
53,0.0020105819507524017,24.794,15.185,56.458,0.308,0.3815
55,0.0019308379512118893,25.498,16.599,49.078,0.2925,0.3766
57,0.0018766849791249773,24.451,16.412,49.832,0.2943,0.3803
59,0.0017689231152492246,23.936,17.42,54.829,0.3097,0.389
61,0.0017278438065509041,24.035,17.012,52.068,0.2958,0.3833
63,0.0016650477457263572,25.381,16.688,52.727,0.2997,0.3795
65,0.0016084838984900807,24.443,16.619,50.137,0.2949,0.3809
67,0.001541075866401753,24.267,17.3,53.559,0.3,0.3845
69,0.0015034928888551832,25.215,16.428,52.982,0.2991,0.3794
71,0.0014561072549247366,24.288,16.465,51.336,0.2954,0.3813
73,0.0013876371466056041,24.506,16.586,51.044,0.3064,0.3845
75,0.0013597588000753087,24.702,16.343,52.748,0.2999,0.3812
77,0.0013215252160237677,24.647,16.018,50.767,0.3023,0.3816
79,0.0012872349124816137,24.582,16.513,50.72,0.293,0.3796
81,0.001261425064097518,24.075,16.425,52.01,0.2973,0.3826
82,0.0012517798912902106,24.105,16.441,52.534,0.2995,0.3833
83,0.0012373836925546602,24.174,16.564,51.188,0.3069,0.3857
84,0.0012243545231937366,24.069,16.282,50.842,0.3034,0.3844
85,0.001219262418934826,24.191,16.231,50.665,0.3019,0.3834
86,0.0012074136321880216,24.152,16.446,51.015,0.3035,0.3845
87,0.0011968989609044017,23.848,16.429,50.951,0.3044,0.3857
88,0.00119641460808302,24.203,16.293,51.112,0.2939,0.3808
89,0.0011879465399276994,23.801,16.598,51.585,0.3104,0.3882
90,0.0011727737941628865,24.008,16.437,51.076,0.3047,0.3853
91,0.0011686644999046377,23.82,16.528,51.293,0.3068,0.3868
92,0.0011651463156720021,23.626,16.647,51.258,0.3062,0.3875
93,0.001160100094633045,23.893,16.481,51.358,0.3075,0.3867
94,0.0011567019245139962,23.8,16.555,51.154,0.3077,0.3872
95,0.0011489019201203125,23.739,16.526,51.039,0.3047,0.3864
96,0.0011475492806419525,23.746,16.553,51.345,0.3073,0.3873
97,0.0011458045110476797,23.804,16.514,51.141,0.3056,0.3864
98,0.0011473649005427605,23.723,16.53,51.193,0.3057,0.3868
99,0.0011476267566427765,23.842,16.478,51.14,0.3052,0.3861
100,0.00115006508060005,23.73,16.466,51.184,0.3057,0.3866
