epoch,lr,train_time_s,val_time_s,loss,f1,le,de,rde,best_epoch,best_f1,improved
1,4.26e-05,41,252,0.02410,6.730,25.60,70.75,0.493,1,6.73,yes
2,5.05e-05,29,0,0.01660,6.730,25.60,70.75,0.493,1,6.73,no
3,6.35e-05,29,291,0.01180,10.563,23.03,57.21,0.385,3,10.56,yes
4,8.15e-05,28,0,0.00990,10.563,23.03,57.21,0.385,3,10.56,no
5,1.04e-04,29,302,0.00840,12.006,18.76,66.18,0.388,5,12.01,yes
6,1.32e-04,30,0,0.00760,12.006,18.76,66.18,0.388,5,12.01,no
7,1.63e-04,29,307,0.00690,13.915,21.72,53.43,0.316,7,13.91,yes
8,1.99e-04,30,0,0.00630,13.915,21.72,53.43,0.316,7,13.91,no
9,2.38e-04,28,311,0.00580,12.742,27.18,55.71,0.333,7,13.91,no
10,2.80e-04,29,0,0.00540,12.742,27.18,55.71,0.333,7,13.91,no
11,3.25e-04,29,316,0.00510,15.102,23.40,55.10,0.346,11,15.10,yes
12,3.72e-04,30,0,0.00490,15.102,23.40,55.10,0.346,11,15.10,no
13,4.20e-04,30,318,0.00470,16.384,21.35,54.70,0.342,13,16.38,yes
14,4.70e-04,30,0,0.00450,16.384,21.35,54.70,0.342,13,16.38,no
15,5.20e-04,31,321,0.00430,17.625,20.88,53.65,0.334,15,17.62,yes
16,5.70e-04,30,0,0.00410,17.625,20.88,53.65,0.334,15,17.62,no
17,6.20e-04,29,325,0.00390,18.218,20.32,54.25,0.331,17,18.22,yes
18,6.68e-04,31,0,0.00370,18.218,20.32,54.25,0.331,17,18.22,no
19,7.15e-04,31,329,0.00350,20.063,19.70,53.10,0.326,19,20.06,yes
20,7.60e-04,30,0,0.00340,20.063,19.70,53.10,0.326,19,20.06,no
21,8.02e-04,30,327,0.00320,21.126,19.12,52.80,0.320,21,21.13,yes
22,8.41e-04,31,0,0.00310,21.126,19.12,52.80,0.320,21,21.13,no
23,8.77e-04,31,332,0.00300,20.784,20.08,54.90,0.336,21,21.13,no
24,9.08e-04,31,0,0.00290,20.784,20.08,54.90,0.336,21,21.13,no
25,9.36e-04,30,334,0.00280,22.448,18.76,52.20,0.318,25,22.45,yes
26,9.59e-04,32,0,0.00270,22.448,18.76,52.20,0.318,25,22.45,no
27,9.77e-04,31,331,0.00260,22.076,19.34,53.70,0.329,25,22.45,no
28,9.90e-04,30,0,0.00250,22.076,19.34,53.70,0.329,25,22.45,no
29,9.97e-04,31,336,0.00240,23.117,18.42,51.85,0.315,29,23.12,yes
30,1.00e-03,32,0,0.00230,23.117,18.42,51.85,0.315,29,23.12,no
31,9.99e-04,30,334,0.00225,22.689,19.05,52.95,0.323,29,23.12,no
32,9.98e-04,31,0,0.00218,22.689,19.05,52.95,0.323,29,23.12,no
33,9.95e-04,30,337,0.00212,23.642,18.18,52.10,0.317,33,23.64,yes
34,9.92e-04,31,0,0.00206,23.642,18.18,52.10,0.317,33,23.64,no
35,9.87e-04,31,339,0.00201,24.214,17.92,51.60,0.309,35,24.21,yes
36,9.82e-04,31,0,0.00196,24.214,17.92,51.60,0.309,35,24.21,no
37,9.76e-04,30,336,0.00191,23.806,18.36,52.45,0.316,35,24.21,no
38,9.68e-04,31,0,0.00186,23.806,18.36,52.45,0.316,35,24.21,no
39,9.59e-04,31,338,0.00182,24.052,18.12,51.90,0.312,35,24.21,no
40,9.49e-04,30,0,0.00180,24.052,18.12,51.90,0.312,35,24.21,no
41,9.38e-04,31,341,0.00178,23.914,18.34,52.30,0.317,35,24.21,no
42,9.25e-04,31,0,0.00176,23.914,18.34,52.30,0.317,35,24.21,no
43,9.11e-04,30,339,0.00174,24.103,18.08,51.75,0.311,35,24.21,no
44,8.96e-04,31,0,0.00173,24.103,18.08,51.75,0.311,35,24.21,no
45,8.80e-04,31,342,0.00172,23.876,18.42,52.55,0.318,35,24.21,no
46,8.62e-04,32,0,0.00171,23.876,18.42,52.55,0.318,35,24.21,no
47,8.43e-04,31,340,0.00170,24.018,18.16,52.05,0.314,35,24.21,no
48,8.23e-04,30,0,0.00169,24.018,18.16,52.05,0.314,35,24.21,no
49,8.02e-04,31,343,0.00168,23.941,18.28,52.20,0.316,35,24.21,no
50,7.80e-04,31,0,0.00167,23.941,18.28,52.20,0.316,35,24.21,no
