epoch,train_loss,f1,le,de,rde,seld_err
1,0.02410,6.730,25.600,70.750,0.4930,0.5226
2,0.01660,6.730,25.600,70.750,0.4930,0.5226
3,0.01180,10.563,23.030,57.210,0.3850,0.4691
4,0.00990,10.563,23.030,57.210,0.3850,0.4691
5,0.00840,12.006,18.760,66.180,0.3880,0.4574
6,0.00760,12.006,18.760,66.180,0.3880,0.4574
7,0.00690,13.915,21.720,53.430,0.3160,0.4325
8,0.00630,13.915,21.720,53.430,0.3160,0.4325
9,0.00580,12.742,27.180,55.710,0.3330,0.4522
10,0.00540,12.742,27.180,55.710,0.3330,0.4522
11,0.00510,15.102,23.400,55.100,0.3460,0.4417
12,0.00490,15.102,23.400,55.100,0.3460,0.4417
13,0.00470,16.384,21.350,54.700,0.3420,0.4323
14,0.00450,16.384,21.350,54.700,0.3420,0.4323
15,0.00430,17.625,20.880,53.650,0.3340,0.4246
16,0.00410,17.625,20.880,53.650,0.3340,0.4246
17,0.00390,18.218,20.320,54.250,0.3310,0.4206
18,0.00370,18.218,20.320,54.250,0.3310,0.4206
19,0.00350,20.063,19.700,53.100,0.3260,0.4116
20,0.00340,20.063,19.700,53.100,0.3260,0.4116
21,0.00320,21.126,19.120,52.800,0.3200,0.4050
22,0.00310,21.126,19.120,52.800,0.3200,0.4050
23,0.00300,20.784,20.080,54.900,0.3360,0.4132
24,0.00290,20.784,20.080,54.900,0.3360,0.4132
25,0.00280,22.448,18.760,52.200,0.3180,0.3992
26,0.00270,22.448,18.760,52.200,0.3180,0.3992
27,0.00260,22.076,19.340,53.700,0.3290,0.4052
28,0.00250,22.076,19.340,53.700,0.3290,0.4052
29,0.00240,23.117,18.420,51.850,0.3150,0.3954
30,0.00230,23.117,18.420,51.850,0.3150,0.3954
31,0.00225,22.689,19.050,52.950,0.3230,0.4006
32,0.00218,22.689,19.050,52.950,0.3230,0.4006
33,0.00212,23.642,18.180,52.100,0.3170,0.3939
34,0.00206,23.642,18.180,52.100,0.3170,0.3939
35,0.00201,24.214,17.920,51.600,0.3090,0.3888
36,0.00196,24.214,17.920,51.600,0.3090,0.3888
37,0.00191,23.806,18.360,52.450,0.3160,0.3933
38,0.00186,23.806,18.360,52.450,0.3160,0.3933
39,0.00182,24.052,18.120,51.900,0.3120,0.3907
40,0.00180,24.052,18.120,51.900,0.3120,0.3907
41,0.00178,23.914,18.340,52.300,0.3170,0.3932
42,0.00176,23.914,18.340,52.300,0.3170,0.3932
43,0.00174,24.103,18.080,51.750,0.3110,0.3901
44,0.00173,24.103,18.080,51.750,0.3110,0.3901
45,0.00172,23.876,18.420,52.550,0.3180,0.3939
46,0.00171,23.876,18.420,52.550,0.3180,0.3939
47,0.00170,24.018,18.160,52.050,0.3140,0.3916
48,0.00169,24.018,18.160,52.050,0.3140,0.3916
49,0.00168,23.941,18.280,52.200,0.3160,0.3927
50,0.00167,23.941,18.280,52.200,0.3160,0.3927
