epoch,lr,train_time_s,val_time_s,loss,f1,le,de,rde,best_epoch,best_f1,improved
1,4.26e-05,37,235,0.0278,0.012,34.71,52.69,0.340,1,0.01,yes
2,5.05e-05,25,0,0.0224,0.012,34.71,52.69,0.340,1,0.01,no
3,6.35e-05,24,296,0.0189,8.496,19.92,58.45,0.397,3,8.50,yes
4,8.15e-05,24,0,0.0154,8.496,19.92,58.45,0.397,3,8.50,no
5,1.04e-04,24,304,0.0133,10.928,21.30,57.65,0.394,5,10.93,yes
6,1.32e-04,27,0,0.0119,10.928,21.30,57.65,0.394,5,10.93,no
7,1.63e-04,25,309,0.0107,11.105,20.73,56.76,0.389,7,11.10,yes
8,1.99e-04,25,0,0.0099,11.105,20.73,56.76,0.389,7,11.10,no
9,2.38e-04,23,303,0.0092,12.232,19.30,64.04,0.377,9,12.23,yes
10,2.80e-04,24,0,0.0086,12.232,19.30,64.04,0.377,9,12.23,no
11,3.25e-04,24,310,0.0081,12.694,20.07,58.22,0.356,11,12.69,yes
12,3.72e-04,25,0,0.0077,12.694,20.07,58.22,0.356,11,12.69,no
13,4.20e-04,25,315,0.0073,13.809,20.42,55.15,0.356,13,13.81,yes
14,4.70e-04,25,0,0.0069,13.809,20.42,55.15,0.356,13,13.81,no
15,5.20e-04,25,313,0.0066,15.172,21.02,52.70,0.322,15,15.17,yes
16,5.70e-04,26,0,0.0062,15.172,21.02,52.70,0.322,15,15.17,no
17,6.20e-04,24,314,0.0059,15.812,21.71,56.54,0.358,17,15.81,yes
18,6.68e-04,26,0,0.0056,15.812,21.71,56.54,0.358,17,15.81,no
19,7.15e-04,26,321,0.0054,17.797,19.88,55.40,0.343,19,17.80,yes
20,7.60e-04,25,0,0.0052,17.797,19.88,55.40,0.343,19,17.80,no
21,8.02e-04,25,313,0.0050,19.442,19.92,51.29,0.315,21,19.44,yes
22,8.41e-04,25,0,0.0048,19.442,19.92,51.29,0.315,21,19.44,no
23,8.77e-04,26,328,0.0045,16.456,20.74,62.44,0.361,21,19.44,no
24,9.08e-04,26,0,0.0044,16.456,20.74,62.44,0.361,21,19.44,no
25,9.36e-04,25,319,0.0042,17.719,20.11,53.36,0.336,21,19.44,no
26,9.59e-04,26,0,0.0041,17.719,20.11,53.36,0.336,21,19.44,no
27,9.77e-04,26,317,0.0039,18.589,19.15,55.86,0.341,21,19.44,no
28,9.90e-04,25,0,0.0038,18.589,19.15,55.86,0.341,21,19.44,no
29,9.97e-04,25,313,0.0037,18.815,19.74,54.80,0.335,21,19.44,no
30,1.00e-03,26,0,0.0036,18.815,19.74,54.80,0.335,21,19.44,no
31,9.99e-04,24,314,0.0035,17.446,18.88,62.97,0.358,21,19.44,no
32,9.98e-04,24,0,0.0033,17.446,18.88,62.97,0.358,21,19.44,no
33,9.95e-04,24,323,0.0033,18.865,19.08,57.13,0.354,21,19.44,no
34,9.92e-04,26,0,0.0031,18.865,19.08,57.13,0.354,21,19.44,no
35,9.87e-04,25,316,0.0031,18.879,18.94,54.93,0.337,21,19.44,no
36,9.82e-04,24,0,0.0030,18.879,18.94,54.93,0.337,21,19.44,no
37,9.76e-04,23,314,0.0029,19.424,18.68,55.51,0.329,21,19.44,no
38,9.68e-04,26,0,0.0028,19.424,18.68,55.51,0.329,21,19.44,no
